benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation_con,500000,sequential,0,10,true,0.793757,0.054731,0.797849,0.671104,0.873180,0.000,1.0052,1.0052,0.0000,0.0690
ep_annihilation_con,1000000,sequential,0,10,true,1.272396,0.032265,1.279327,1.211461,1.319281,0.000,1.0054,1.0054,0.0000,0.0254
ep_annihilation_con,5000000,sequential,0,10,true,6.938253,0.113439,6.922975,6.702640,7.088190,0.000,0.9978,0.9978,0.0022,0.0163
dual_tree,18,sequential,0,10,true,0.569440,0.027969,0.564174,0.539104,0.642299,0.000,0.9908,0.9908,0.0092,0.0491
dual_tree,20,sequential,0,10,true,0.948383,0.059551,0.944897,0.883940,1.098347,0.000,0.9963,0.9963,0.0037,0.0628
dual_tree,22,sequential,0,10,true,3.012140,0.068714,2.993397,2.933617,3.117880,0.000,0.9938,0.9938,0.0062,0.0228
condup_expansion,1000,sequential,0,10,true,0.474817,0.024758,0.477542,0.434479,0.514203,0.000,1.0057,1.0057,0.0000,0.0521
condup_expansion,5000,sequential,0,10,true,0.467146,0.021355,0.470463,0.434505,0.500444,0.000,1.0071,1.0071,0.0000,0.0457
ep_annihilation_con,500000,tcp_localhost,1,10,true,1.125371,0.220068,1.092480,0.955907,1.755177,0.000,0.7090,0.7090,0.2910,0.1956
ep_annihilation_con,500000,tcp_localhost,2,10,true,1.312407,0.025671,1.300420,1.287410,1.359315,0.000,0.6079,0.3040,0.6960,0.0196
ep_annihilation_con,500000,tcp_localhost,4,10,true,1.337017,0.053204,1.332723,1.256044,1.448417,0.000,0.5967,0.1492,0.8508,0.0398
ep_annihilation_con,500000,tcp_localhost,8,10,true,1.743071,0.093675,1.714089,1.635711,1.962668,0.000,0.4577,0.0572,0.9428,0.0537
ep_annihilation_con,1000000,tcp_localhost,1,10,true,1.457378,0.016739,1.453166,1.437337,1.496580,0.000,0.8778,0.8778,0.1222,0.0115
ep_annihilation_con,1000000,tcp_localhost,2,10,true,3.147682,0.078466,3.136958,3.051275,3.291557,0.000,0.4064,0.2032,0.7968,0.0249
ep_annihilation_con,1000000,tcp_localhost,4,10,true,3.045974,0.081582,3.021656,2.958991,3.202684,0.000,0.4200,0.1050,0.8950,0.0268
ep_annihilation_con,1000000,tcp_localhost,8,10,true,3.592765,0.024273,3.593463,3.540085,3.625482,0.000,0.3561,0.0445,0.9555,0.0068
ep_annihilation_con,5000000,tcp_localhost,1,3,false,10.569595,0.845331,9.983174,9.960609,11.765002,0.000,0.6550,0.6550,0.3450,0.0800
ep_annihilation_con,5000000,tcp_localhost,2,8,false,23.016384,0.306014,23.013258,22.671993,23.684847,0.000,0.3008,0.1504,0.8496,0.0133
ep_annihilation_con,5000000,tcp_localhost,4,8,false,22.770696,0.200224,22.714593,22.499370,23.144869,0.000,0.3040,0.0760,0.9240,0.0088
ep_annihilation_con,5000000,tcp_localhost,8,10,true,25.782182,0.332549,25.893606,25.085683,26.127030,0.000,0.2685,0.0336,0.9664,0.0129
dual_tree,18,tcp_localhost,1,10,true,0.361854,0.041744,0.349854,0.319295,0.442037,0.000,1.5591,1.5591,0.0000,0.1154
dual_tree,18,tcp_localhost,2,10,true,0.678912,0.017704,0.677462,0.656541,0.715477,0.000,0.8310,0.4155,0.5845,0.0261
dual_tree,18,tcp_localhost,4,10,true,0.775902,0.026907,0.775598,0.733535,0.821320,0.000,0.7271,0.1818,0.8182,0.0347
dual_tree,18,tcp_localhost,8,10,true,0.990119,0.032585,0.982301,0.952045,1.057036,0.000,0.5698,0.0712,0.9288,0.0329
dual_tree,20,tcp_localhost,1,10,true,1.263179,0.022980,1.268473,1.223150,1.288760,0.000,0.7480,0.7480,0.2520,0.0182
dual_tree,20,tcp_localhost,2,10,true,3.171812,0.043827,3.185957,3.107182,3.257851,0.000,0.2979,0.1490,0.8510,0.0138
dual_tree,20,tcp_localhost,4,10,true,2.954638,0.049894,2.952379,2.867891,3.055357,0.000,0.3198,0.0800,0.9200,0.0169
dual_tree,20,tcp_localhost,8,10,true,3.092943,0.062431,3.090860,2.997652,3.192893,0.000,0.3055,0.0382,0.9618,0.0202
dual_tree,22,tcp_localhost,1,10,true,5.868934,0.094446,5.864543,5.731876,6.045445,0.000,0.5100,0.5100,0.4900,0.0161
dual_tree,22,tcp_localhost,2,9,false,16.665077,0.216992,16.747862,16.174756,16.899466,0.000,0.1796,0.0898,0.9102,0.0130
dual_tree,22,tcp_localhost,4,10,true,15.967490,0.189165,15.945921,15.621492,16.287824,0.000,0.1875,0.0469,0.9531,0.0118
dual_tree,22,tcp_localhost,8,10,true,16.567540,2.004982,15.828380,15.480379,22.425733,0.000,0.1807,0.0226,0.9774,0.1210
