benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era,peak_memory_during_construction,peak_memory_during_reduction,agent_count_at_construction_complete,live_agent_count_watermark,representation,chunk_size,recycle_policy
ep_annihilation,10000,sequential,0,0,true,0.000203,10000,49.305,0,1.0000,1.0000,0.0000,6897664,0,0,0,0,10000,0,0,0,6897664,6897664,20000,0,dense,1000,disable-under-delta
ep_annihilation,10000,sequential,0,1,true,0.000238,10000,42.016,0,1.0000,1.0000,0.0000,7421952,0,0,0,0,10000,0,0,0,6897664,7421952,20000,0,dense,1000,disable-under-delta
ep_annihilation,10000,sequential,0,2,true,0.000203,10000,49.314,0,1.0000,1.0000,0.0000,7421952,0,0,0,0,10000,0,0,0,6897664,7421952,20000,0,dense,1000,disable-under-delta
ep_annihilation,10000,sequential,0,3,true,0.000204,10000,48.968,0,1.0000,1.0000,0.0000,7421952,0,0,0,0,10000,0,0,0,6897664,7421952,20000,0,dense,1000,disable-under-delta
ep_annihilation,10000,sequential,0,4,true,0.000229,10000,43.667,0,1.0000,1.0000,0.0000,7421952,0,0,0,0,10000,0,0,0,6897664,7421952,20000,0,dense,1000,disable-under-delta
ep_annihilation,10000,local,1,0,true,0.000304,10000,32.917,1,0.6722,0.6722,0.1756,7553024,0,0,0,0,10000,0,0,0,6897664,7553024,20000,20000,dense,1000,disable-under-delta
ep_annihilation,10000,local,1,1,true,0.000244,10000,40.975,1,0.8368,0.8368,0.1717,7553024,0,0,0,0,10000,0,0,0,6897664,7553024,20000,20000,dense,1000,disable-under-delta
ep_annihilation,10000,local,1,2,true,0.000245,10000,40.880,1,0.8348,0.8348,0.1670,7553024,0,0,0,0,10000,0,0,0,6897664,7553024,20000,20000,dense,1000,disable-under-delta
ep_annihilation,10000,local,1,3,true,0.000352,10000,28.447,1,0.5809,0.5809,0.1275,7553024,0,0,0,0,10000,0,0,0,6897664,7553024,20000,20000,dense,1000,disable-under-delta
ep_annihilation,10000,local,1,4,true,0.000362,10000,27.638,1,0.5644,0.5644,0.1562,7553024,0,0,0,0,10000,0,0,0,6897664,7553024,20000,20000,dense,1000,disable-under-delta
