benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
ep_annihilation_con,500000,sequential,0,0,true,0.561716,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,1,true,0.541203,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,2,true,0.538308,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,3,true,0.554199,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,4,true,0.516968,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,5,true,0.513328,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,6,true,0.523363,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,7,true,0.533700,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,8,true,0.531712,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,9,true,0.584818,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,0,true,0.895265,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,1,true,0.951197,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,2,true,0.898034,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,3,true,0.917643,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,4,true,0.842439,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,5,true,0.933812,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,6,true,0.876994,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,7,true,1.052798,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,8,true,0.943520,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
