benchmark,input_size,workers,mode,repetition,round,partition_time_secs,compute_time_secs,merge_time_secs,network_time_secs,border_redexes,border_ratio,agents_at_start,bytes_sent,bytes_received
dual_tree,18,1,local,0,0,0.000000,0.052203,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,1,local,1,0,0.000000,0.050669,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,1,local,2,0,0.000000,0.152051,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,1,local,3,0,0.000000,0.102489,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,1,local,4,0,0.000000,0.089252,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,2,local,0,0,0.132587,0.003610,0.015369,0.000000,1,1.000000,524286,0,0
dual_tree,18,2,local,1,0,0.135828,0.004200,0.013084,0.000000,1,1.000000,524286,0,0
dual_tree,18,2,local,2,0,0.133084,0.005000,0.017249,0.000000,1,1.000000,524286,0,0
dual_tree,18,2,local,3,0,0.147510,0.004947,0.018031,0.000000,1,1.000000,524286,0,0
dual_tree,18,2,local,4,0,0.225895,0.012935,0.050257,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,0,0,0.223875,0.010536,0.030542,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,1,0,0.235545,0.009355,0.021280,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,2,0,0.188949,0.009045,0.030673,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,3,0,0.200789,0.009072,0.017045,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,4,0,0.204154,0.008545,0.025708,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,0,0,0.184777,0.007459,0.031214,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,1,0,0.183993,0.013300,0.036225,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,2,0,0.170196,0.011643,0.031483,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,3,0,0.243062,0.012320,0.036416,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,4,0,0.298634,0.009327,0.049387,0.000000,1,1.000000,524286,0,0
dual_tree,20,1,local,0,0,0.000000,0.278124,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,1,local,1,0,0.000000,0.436218,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,1,local,2,0,0.000000,0.409635,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,1,local,3,0,0.000000,0.388487,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,1,local,4,0,0.000000,0.413564,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,2,local,0,0,1.198001,0.026401,0.064927,0.000000,1,1.000000,2097150,0,0
dual_tree,20,2,local,1,0,1.152896,0.016714,0.059452,0.000000,1,1.000000,2097150,0,0
dual_tree,20,2,local,2,0,1.003864,0.016446,0.054051,0.000000,1,1.000000,2097150,0,0
dual_tree,20,2,local,3,0,0.843733,0.023284,0.074384,0.000000,1,1.000000,2097150,0,0
dual_tree,20,2,local,4,0,1.119647,0.034095,0.073689,0.000000,1,1.000000,2097150,0,0
dual_tree,20,4,local,0,0,1.259975,0.036735,0.092045,0.000000,1,1.000000,2097150,0,0
dual_tree,20,4,local,1,0,0.845229,0.022567,0.065333,0.000000,1,1.000000,2097150,0,0
dual_tree,20,4,local,2,0,1.033962,0.030203,0.109638,0.000000,1,1.000000,2097150,0,0
dual_tree,20,4,local,3,0,0.901810,0.021423,0.060642,0.000000,1,1.000000,2097150,0,0
dual_tree,20,4,local,4,0,1.059958,0.024754,0.060473,0.000000,1,1.000000,2097150,0,0
dual_tree,20,8,local,0,0,0.997840,0.066741,0.128421,0.000000,1,1.000000,2097150,0,0
dual_tree,20,8,local,1,0,0.660398,0.026541,0.074075,0.000000,1,1.000000,2097150,0,0
dual_tree,20,8,local,2,0,0.908374,0.041626,0.118293,0.000000,1,1.000000,2097150,0,0
dual_tree,20,8,local,3,0,0.901590,0.029421,0.101705,0.000000,1,1.000000,2097150,0,0
