benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
dual_tree,18,sequential,0,5,true,0.065865,0.011504,0.061606,0.056531,0.085489,4.065,1.0000,1.0000,0.0000,0.1747
dual_tree,18,local,1,5,true,0.090470,0.041962,0.090256,0.051738,0.153457,3.429,0.8057,0.8057,0.0141,0.4638
dual_tree,18,local,2,5,true,0.253311,0.101445,0.217300,0.195730,0.433643,1.131,0.2658,0.1329,0.9770,0.4005
dual_tree,18,local,4,5,true,0.334650,0.029363,0.330151,0.295477,0.368456,0.788,0.1852,0.0463,0.9721,0.0877
dual_tree,18,local,8,5,true,0.345343,0.084997,0.309032,0.273263,0.476997,0.793,0.1863,0.0233,0.9673,0.2461
dual_tree,20,sequential,0,5,true,0.264417,0.028456,0.257152,0.231942,0.300386,4.002,1.0000,1.0000,0.0000,0.1076
dual_tree,20,local,1,5,true,0.390194,0.062899,0.415115,0.281749,0.441409,2.758,0.6763,0.6763,0.0128,0.1612
dual_tree,20,local,2,5,true,1.464755,0.113601,1.475044,1.310487,1.586349,0.719,0.1764,0.0882,0.9842,0.0776
dual_tree,20,local,4,5,true,1.387126,0.171651,1.410387,1.193218,1.631000,0.765,0.1876,0.0469,0.9806,0.1237
dual_tree,20,local,8,5,true,1.295650,0.304544,1.309693,0.969997,1.708895,0.846,0.2075,0.0259,0.9708,0.2351
dual_tree,22,sequential,0,5,true,1.891339,0.120384,1.876981,1.751427,2.060331,2.225,1.0000,1.0000,0.0000,0.0637
dual_tree,22,local,1,5,true,2.308530,0.498025,2.522173,1.564493,2.711927,1.900,0.8501,0.8501,0.0102,0.2157
dual_tree,22,local,2,5,true,5.405230,0.107659,5.390477,5.263037,5.559676,0.776,0.3474,0.1737,0.9865,0.0199
dual_tree,22,local,4,5,true,6.246744,0.855241,6.312985,5.430148,7.538149,0.681,0.3048,0.0762,0.9831,0.1369
dual_tree,22,local,8,5,true,6.271379,0.996564,5.714130,5.624480,7.978778,0.681,0.3046,0.0381,0.9773,0.1589
