benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
ep_annihilation_con,500000,sequential,0,0,true,0.157706,500000,3.170,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,1,true,0.159172,500000,3.141,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,2,true,0.159633,500000,3.132,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,3,true,0.157442,500000,3.176,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,4,true,0.165439,500000,3.022,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,0,true,0.177731,500000,2.813,1,0.8956,0.8956,0.0388,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,1,true,0.205007,500000,2.439,1,0.7764,0.7764,0.0243,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,2,true,0.184419,500000,2.711,1,0.8631,0.8631,0.0279,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,3,true,0.178876,500000,2.795,1,0.8898,0.8898,0.0327,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,4,true,0.166402,500000,3.005,1,0.9566,0.9566,0.0492,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,0,true,0.580744,500000,0.861,1,0.2741,0.1370,0.6856,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,1,true,0.452496,500000,1.105,1,0.3518,0.1759,0.6558,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,2,true,0.706829,500000,0.707,1,0.2252,0.1126,0.7112,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,3,true,0.539115,500000,0.927,1,0.2952,0.1476,0.6682,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,4,true,0.560931,500000,0.891,1,0.2838,0.1419,0.6935,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,0,true,0.685047,500000,0.730,1,0.2324,0.0581,0.7338,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,1,true,0.671214,500000,0.745,1,0.2371,0.0593,0.7414,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,2,true,0.687885,500000,0.727,1,0.2314,0.0578,0.7452,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,3,true,0.641379,500000,0.780,1,0.2482,0.0620,0.7142,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,4,true,0.663052,500000,0.754,1,0.2401,0.0600,0.7411,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,0,true,0.735429,500000,0.680,1,0.2164,0.0271,0.7585,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,1,true,0.810393,500000,0.617,1,0.1964,0.0246,0.7957,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,2,true,0.770221,500000,0.649,1,0.2067,0.0258,0.7864,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,3,true,0.825347,500000,0.606,1,0.1929,0.0241,0.7791,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,4,true,0.800352,500000,0.625,1,0.1989,0.0249,0.8065,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,0,true,0.387845,1000000,2.578,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,1,true,0.361048,1000000,2.770,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,2,true,0.385915,1000000,2.591,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,3,true,0.386117,1000000,2.590,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,4,true,0.420859,1000000,2.376,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,1,0,true,0.427521,1000000,2.339,1,0.9032,0.9032,0.0391,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,1,1,true,0.440371,1000000,2.271,1,0.8768,0.8768,0.0364,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,1,2,true,0.425347,1000000,2.351,1,0.9078,0.9078,0.0313,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,1,3,true,0.399610,1000000,2.502,1,0.9662,0.9662,0.0342,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,1,4,true,0.374552,1000000,2.670,1,1.0309,1.0309,0.0281,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,2,0,true,1.455120,1000000,0.687,1,0.2654,0.1327,0.7426,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,2,1,true,1.488576,1000000,0.672,1,0.2594,0.1297,0.7402,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,2,2,true,1.355088,1000000,0.738,1,0.2849,0.1425,0.7082,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,2,3,true,1.478214,1000000,0.676,1,0.2612,0.1306,0.7372,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,2,4,true,1.396391,1000000,0.716,1,0.2765,0.1383,0.7405,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,4,0,true,1.516683,1000000,0.659,1,0.2546,0.0636,0.7621,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,4,1,true,1.500484,1000000,0.666,1,0.2573,0.0643,0.7667,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,4,2,true,1.494099,1000000,0.669,1,0.2584,0.0646,0.7692,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,4,3,true,1.541025,1000000,0.649,1,0.2506,0.0626,0.7685,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,4,4,true,1.518880,1000000,0.658,1,0.2542,0.0636,0.7761,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,8,0,true,2.077014,1000000,0.481,1,0.1859,0.0232,0.8308,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,8,1,true,1.901333,1000000,0.526,1,0.2031,0.0254,0.7747,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,8,2,true,2.106754,1000000,0.475,1,0.1833,0.0229,0.7523,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,8,3,true,3.110523,1000000,0.321,1,0.1241,0.0155,0.6727,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,8,4,true,3.260317,1000000,0.307,1,0.1184,0.0148,0.8213,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,0,true,4.336105,5000000,1.153,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,1,true,3.771865,5000000,1.326,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,2,true,3.733074,5000000,1.339,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,3,true,4.011428,5000000,1.246,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,4,true,3.443178,5000000,1.452,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,1,0,true,3.172844,5000000,1.576,1,1.1888,1.1888,0.0182,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,1,1,true,3.599813,5000000,1.389,1,1.0478,1.0478,0.0189,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,1,2,true,4.232350,5000000,1.181,1,0.8912,0.8912,0.0266,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,1,3,true,4.360091,5000000,1.147,1,0.8651,0.8651,0.0229,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,1,4,true,4.682415,5000000,1.068,1,0.8055,0.8055,0.0226,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,2,0,true,7.624974,5000000,0.656,1,0.4947,0.2473,0.6455,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,2,1,true,7.515034,5000000,0.665,1,0.5019,0.2510,0.6570,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,2,2,true,7.397485,5000000,0.676,1,0.5099,0.2549,0.6588,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,2,3,true,7.387538,5000000,0.677,1,0.5106,0.2553,0.6690,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,2,4,true,7.642440,5000000,0.654,1,0.4935,0.2468,0.6586,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,4,0,true,10.574061,5000000,0.473,1,0.3567,0.0892,0.6871,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,4,1,true,10.561919,5000000,0.473,1,0.3571,0.0893,0.6810,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,4,2,true,10.482376,5000000,0.477,1,0.3598,0.0900,0.7667,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,4,3,true,9.360764,5000000,0.534,1,0.4029,0.1007,0.6954,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,4,4,true,8.427415,5000000,0.593,1,0.4476,0.1119,0.7373,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,8,0,true,13.302144,5000000,0.376,1,0.2836,0.0354,0.8696,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,8,1,true,11.991721,5000000,0.417,1,0.3145,0.0393,0.8455,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,8,2,true,11.632632,5000000,0.430,1,0.3242,0.0405,0.8486,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,8,3,true,12.559183,5000000,0.398,1,0.3003,0.0375,0.8131,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,local,8,4,true,13.475765,5000000,0.371,1,0.2799,0.0350,0.8092,0,0,0,5000000,0,0,0,0,0
