benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation_con,1000,sequential,0,10,true,0.000267,0.000022,0.000265,0.000238,0.000322,3.772,1.0000,1.0000,0.0000,0.0820
ep_annihilation_con,1000,local,1,10,true,0.000252,0.000018,0.000250,0.000226,0.000282,3.990,1.0555,1.0555,0.0334,0.0708
ep_annihilation_con,1000,local,2,10,true,0.000416,0.000022,0.000417,0.000391,0.000444,2.411,0.6380,0.3190,0.4814,0.0533
ep_annihilation_con,1000,local,4,10,true,0.000458,0.000035,0.000439,0.000423,0.000509,2.195,0.5808,0.1452,0.5396,0.0769
ep_annihilation_con,1000,local,8,10,true,0.000582,0.000019,0.000577,0.000558,0.000613,1.721,0.4554,0.0569,0.6409,0.0335
ep_annihilation_con,10000,sequential,0,10,true,0.001992,0.000081,0.001949,0.001922,0.002133,5.027,1.0000,1.0000,0.0000,0.0406
ep_annihilation_con,10000,local,1,10,true,0.002171,0.000173,0.002113,0.001978,0.002438,4.632,0.9027,0.9027,0.0458,0.0796
ep_annihilation_con,10000,local,2,10,true,0.004533,0.000335,0.004448,0.004294,0.005458,2.215,0.4318,0.2159,0.5307,0.0739
ep_annihilation_con,10000,local,4,10,true,0.004902,0.000196,0.004883,0.004686,0.005242,2.043,0.3982,0.0995,0.5829,0.0399
ep_annihilation_con,10000,local,8,10,true,0.005927,0.000441,0.005820,0.005476,0.006950,1.695,0.3303,0.0413,0.6395,0.0743
ep_annihilation_con,50000,sequential,0,10,true,0.009936,0.000354,0.010000,0.009415,0.010417,5.038,1.0000,1.0000,0.0000,0.0356
ep_annihilation_con,50000,local,1,10,true,0.010450,0.000416,0.010367,0.009968,0.011250,4.791,0.9582,0.9582,0.0532,0.0398
ep_annihilation_con,50000,local,2,10,true,0.024327,0.001038,0.024429,0.022300,0.026185,2.059,0.4118,0.2059,0.5802,0.0427
ep_annihilation_con,50000,local,4,10,true,0.026103,0.001096,0.026147,0.024241,0.028109,1.919,0.3837,0.0959,0.6299,0.0420
ep_annihilation_con,50000,local,8,10,true,0.030609,0.001878,0.030097,0.028350,0.034600,1.639,0.3278,0.0410,0.6824,0.0614
