benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
ep_annihilation_dup,1000,sequential,0,0,true,0.000240,1000,4.172,0,1.0000,1.0000,0.0000,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,sequential,0,1,true,0.000273,1000,3.666,0,1.0000,1.0000,0.0000,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,sequential,0,2,true,0.000246,1000,4.063,0,1.0000,1.0000,0.0000,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,sequential,0,3,true,0.000231,1000,4.327,0,1.0000,1.0000,0.0000,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,sequential,0,4,true,0.000231,1000,4.322,0,1.0000,1.0000,0.0000,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,sequential,0,5,true,0.000244,1000,4.097,0,1.0000,1.0000,0.0000,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,sequential,0,6,true,0.000239,1000,4.186,0,1.0000,1.0000,0.0000,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,sequential,0,7,true,0.000232,1000,4.314,0,1.0000,1.0000,0.0000,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,sequential,0,8,true,0.000227,1000,4.398,0,1.0000,1.0000,0.0000,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,sequential,0,9,true,0.000227,1000,4.409,0,1.0000,1.0000,0.0000,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,1,0,true,0.000223,1000,4.486,1,1.0559,1.0559,0.0319,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,1,1,true,0.000224,1000,4.460,1,1.0497,1.0497,0.0348,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,1,2,true,0.000218,1000,4.587,1,1.0796,1.0796,0.0353,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,1,3,true,0.000233,1000,4.294,1,1.0105,1.0105,0.0309,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,1,4,true,0.000228,1000,4.390,1,1.0331,1.0331,0.0593,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,1,5,true,0.000224,1000,4.458,1,1.0493,1.0493,0.0339,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,1,6,true,0.000224,1000,4.474,1,1.0530,1.0530,0.0322,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,1,7,true,0.000214,1000,4.669,1,1.0987,1.0987,0.0341,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,1,8,true,0.000217,1000,4.617,1,1.0866,1.0866,0.0342,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,1,9,true,0.000216,1000,4.623,1,1.0881,1.0881,0.0342,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,2,0,true,0.000397,1000,2.519,1,0.5928,0.2964,0.5101,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,2,1,true,0.000499,1000,2.002,1,0.4713,0.2356,0.5324,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,2,2,true,0.000485,1000,2.060,1,0.4848,0.2424,0.4785,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,2,3,true,0.000490,1000,2.042,1,0.4806,0.2403,0.5175,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,2,4,true,0.000441,1000,2.269,1,0.5340,0.2670,0.4874,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,2,5,true,0.000456,1000,2.192,1,0.5158,0.2579,0.4804,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,2,6,true,0.000454,1000,2.201,1,0.5180,0.2590,0.4810,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,2,7,true,0.000446,1000,2.243,1,0.5279,0.2640,0.4859,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,2,8,true,0.000433,1000,2.311,1,0.5438,0.2719,0.4753,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,2,9,true,0.000401,1000,2.491,1,0.5863,0.2932,0.5142,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,4,0,true,0.000444,1000,2.250,1,0.5296,0.1324,0.5486,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,4,1,true,0.000485,1000,2.061,1,0.4851,0.1213,0.5383,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,4,2,true,0.000478,1000,2.093,1,0.4926,0.1231,0.5285,0,0,0,0,1000,0,0,0,0
ep_annihilation_dup,1000,local,4,3,true,0.000479,1000,2.086,1,0.4909,0.1227,0.5246,0,0,0,0,1000,0,0,0,0
