benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation,1000,sequential,0,10,true,0.000011,0.000000,0.000011,0.000011,0.000012,89.870,1.0000,1.0000,0.0000,0.0170
ep_annihilation,1000,local,1,10,true,0.000020,0.000000,0.000020,0.000019,0.000021,50.099,0.5586,0.5586,0.3956,0.0231
ep_annihilation,1000,local,2,10,true,0.000226,0.000017,0.000227,0.000205,0.000247,4.451,0.0496,0.0248,0.9248,0.0743
ep_annihilation,1000,local,4,10,true,0.000256,0.000016,0.000260,0.000236,0.000278,3.922,0.0437,0.0109,0.9269,0.0608
ep_annihilation,1000,local,8,10,true,0.000349,0.000011,0.000351,0.000333,0.000369,2.870,0.0320,0.0040,0.9285,0.0310
ep_annihilation,10000,sequential,0,10,true,0.000120,0.000009,0.000122,0.000100,0.000129,84.062,1.0000,1.0000,0.0000,0.0741
ep_annihilation,10000,local,1,10,true,0.000221,0.000020,0.000216,0.000198,0.000255,45.516,0.5544,0.5544,0.4578,0.0919
ep_annihilation,10000,local,2,10,true,0.002555,0.000355,0.002335,0.002262,0.003221,3.977,0.0484,0.0242,0.9285,0.1390
ep_annihilation,10000,local,4,10,true,0.002802,0.000140,0.002775,0.002649,0.003062,3.577,0.0436,0.0109,0.9289,0.0499
ep_annihilation,10000,local,8,10,true,0.004232,0.000688,0.004022,0.003747,0.006031,2.407,0.0293,0.0037,0.9315,0.1626
ep_annihilation,100000,sequential,0,10,true,0.001127,0.000143,0.001078,0.001017,0.001453,89.790,1.0000,1.0000,0.0000,0.1265
ep_annihilation,100000,local,1,10,true,0.002279,0.000506,0.002062,0.001829,0.003492,45.465,0.4902,0.4902,0.4743,0.2220
ep_annihilation,100000,local,2,10,true,0.031784,0.001555,0.032002,0.029443,0.034582,3.153,0.0340,0.0170,0.9452,0.0489
ep_annihilation,100000,local,4,10,true,0.038092,0.003510,0.037724,0.032912,0.042812,2.645,0.0285,0.0071,0.9407,0.0922
ep_annihilation,100000,local,8,10,true,0.048502,0.001781,0.048764,0.045286,0.051561,2.064,0.0223,0.0028,0.9450,0.0367
