benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
condup_expansion,50,sequential,0,0,true,0.000007,50,7.143,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50,0,0
condup_expansion,50,sequential,0,1,true,0.000007,50,6.944,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50,0,0
condup_expansion,50,sequential,0,2,true,0.000027,50,1.873,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50,0,0
condup_expansion,50,sequential,0,3,true,0.000005,50,9.434,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50,0,0
condup_expansion,50,sequential,0,4,true,0.000006,50,8.929,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50,0,0
condup_expansion,50,sequential,0,5,true,0.000010,50,5.051,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50,0,0
condup_expansion,50,sequential,0,6,true,0.000005,50,9.259,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50,0,0
condup_expansion,50,sequential,0,7,true,0.000005,50,9.259,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50,0,0
condup_expansion,50,sequential,0,8,true,0.000005,50,9.091,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50,0,0
condup_expansion,50,sequential,0,9,true,0.000006,50,8.772,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50,0,0
condup_expansion,50,local,1,0,true,0.000007,50,7.143,1,0.8071,0.8071,0.2857,0,0,0,0,0,0,50,0,0
condup_expansion,50,local,1,1,true,0.000007,50,7.143,1,0.8071,0.8071,0.2714,0,0,0,0,0,0,50,0,0
condup_expansion,50,local,1,2,true,0.000007,50,7.353,1,0.8309,0.8309,0.2500,0,0,0,0,0,0,50,0,0
condup_expansion,50,local,1,3,true,0.000007,50,7.576,1,0.8561,0.8561,0.2727,0,0,0,0,0,0,50,0,0
condup_expansion,50,local,1,4,true,0.000007,50,7.246,1,0.8188,0.8188,0.2609,0,0,0,0,0,0,50,0,0
condup_expansion,50,local,1,5,true,0.000006,50,7.812,1,0.8828,0.8828,0.2344,0,0,0,0,0,0,50,0,0
condup_expansion,50,local,1,6,true,0.000006,50,7.812,1,0.8828,0.8828,0.2500,0,0,0,0,0,0,50,0,0
condup_expansion,50,local,1,7,true,0.000006,50,7.812,1,0.8828,0.8828,0.2500,0,0,0,0,0,0,50,0,0
condup_expansion,50,local,1,8,true,0.000006,50,7.937,1,0.8968,0.8968,0.2540,0,0,0,0,0,0,50,0,0
