benchmark,input_size,workers,mode,repetition,round,partition_time_secs,compute_time_secs,merge_time_secs,network_time_secs,border_redexes,border_ratio,agents_at_start,bytes_sent,bytes_received
condup_expansion,50,1,local,0,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,100,0,0
condup_expansion,50,1,local,1,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,100,0,0
condup_expansion,50,1,local,2,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,100,0,0
condup_expansion,50,1,local,3,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,100,0,0
condup_expansion,50,1,local,4,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,100,0,0
condup_expansion,50,1,local,5,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,100,0,0
condup_expansion,50,1,local,6,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,100,0,0
condup_expansion,50,1,local,7,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,100,0,0
condup_expansion,50,1,local,8,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,100,0,0
condup_expansion,50,1,local,9,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,100,0,0
condup_expansion,50,2,local,0,0,0.000014,0.001370,0.000855,0.000000,0,0.000000,100,0,0
condup_expansion,50,2,local,1,0,0.000013,0.001522,0.000846,0.000000,0,0.000000,100,0,0
condup_expansion,50,2,local,2,0,0.000010,0.001364,0.000887,0.000000,0,0.000000,100,0,0
condup_expansion,50,2,local,3,0,0.000011,0.001343,0.000877,0.000000,0,0.000000,100,0,0
condup_expansion,50,2,local,4,0,0.000011,0.001334,0.000896,0.000000,0,0.000000,100,0,0
condup_expansion,50,2,local,5,0,0.000010,0.001256,0.000718,0.000000,0,0.000000,100,0,0
condup_expansion,50,2,local,6,0,0.000010,0.001254,0.000960,0.000000,0,0.000000,100,0,0
condup_expansion,50,2,local,7,0,0.000016,0.001605,0.000869,0.000000,0,0.000000,100,0,0
condup_expansion,50,2,local,8,0,0.000014,0.001485,0.000837,0.000000,0,0.000000,100,0,0
condup_expansion,50,2,local,9,0,0.000013,0.001479,0.000883,0.000000,0,0.000000,100,0,0
condup_expansion,50,4,local,0,0,0.000026,0.008888,0.003290,0.000000,2,0.040000,100,0,0
