benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
condup_expansion,50,sequential,0,10,true,0.000008,0.000007,0.000006,0.000005,0.000027,7.575,1.0000,1.0000,0.0000,0.7882
condup_expansion,50,local,1,10,true,0.000007,0.000000,0.000007,0.000006,0.000007,7.590,0.8577,0.8577,0.2571,0.0457
condup_expansion,50,local,2,10,true,0.002280,0.000135,0.002254,0.001986,0.002495,0.022,0.0025,0.0012,0.3858,0.0593
condup_expansion,50,local,4,10,true,0.014725,0.000604,0.014538,0.013979,0.015789,0.003,0.0004,0.0001,0.3931,0.0410
condup_expansion,50,local,8,10,true,0.067026,0.002458,0.066621,0.062593,0.070858,0.001,0.0001,0.0000,0.2771,0.0367
condup_expansion,100,sequential,0,10,true,0.000012,0.000007,0.000008,0.000007,0.000026,10.608,1.0000,1.0000,0.0000,0.5739
condup_expansion,100,local,1,10,true,0.000009,0.000000,0.000009,0.000009,0.000009,11.114,0.9391,0.9391,0.2044,0.0166
condup_expansion,100,local,2,10,true,0.002548,0.000287,0.002459,0.002307,0.003261,0.040,0.0033,0.0017,0.3678,0.1125
condup_expansion,100,local,4,10,true,0.013882,0.000845,0.013547,0.013135,0.015728,0.007,0.0006,0.0002,0.2721,0.0609
condup_expansion,100,local,8,10,true,0.067721,0.002120,0.066918,0.065565,0.070545,0.001,0.0001,0.0000,0.2811,0.0313
condup_expansion,1000,sequential,0,10,true,0.000174,0.000040,0.000174,0.000109,0.000262,6.012,1.0000,1.0000,0.0000,0.2281
condup_expansion,1000,local,1,10,true,0.000200,0.000030,0.000191,0.000165,0.000266,5.099,0.8853,0.8853,0.0990,0.1508
condup_expansion,1000,local,2,10,true,0.003096,0.000151,0.003063,0.002890,0.003400,0.324,0.0562,0.0281,0.3972,0.0489
condup_expansion,1000,local,4,10,true,0.015160,0.000505,0.015254,0.014132,0.015777,0.066,0.0115,0.0029,0.2783,0.0333
condup_expansion,1000,local,8,10,true,0.062941,0.003565,0.062209,0.058767,0.071105,0.016,0.0028,0.0003,0.2110,0.0566
condup_expansion,5000,sequential,0,10,true,0.000624,0.000054,0.000612,0.000565,0.000759,8.065,1.0000,1.0000,0.0000,0.0870
condup_expansion,5000,local,1,10,true,0.001101,0.000507,0.000948,0.000682,0.002270,5.235,0.6412,0.6412,0.1087,0.4602
condup_expansion,5000,local,2,10,true,0.007180,0.001644,0.007398,0.004450,0.010221,0.735,0.0900,0.0450,0.5023,0.2289
condup_expansion,5000,local,4,10,true,0.015954,0.001762,0.015386,0.014457,0.020440,0.316,0.0387,0.0097,0.3384,0.1104
condup_expansion,5000,local,8,10,true,0.063177,0.006953,0.061575,0.055893,0.080437,0.080,0.0098,0.0012,0.2304,0.1101
