benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
erasure_propagation,50,sequential,0,0,true,0.000006,50,7.937,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,50,0
erasure_propagation,50,sequential,0,1,true,0.000005,50,9.259,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,50,0
erasure_propagation,50,sequential,0,2,true,0.000006,50,8.772,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,50,0
erasure_propagation,50,sequential,0,3,true,0.000029,50,1.706,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,50,0
erasure_propagation,50,sequential,0,4,true,0.000003,50,19.231,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,50,0
erasure_propagation,50,sequential,0,5,true,0.000003,50,19.231,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,50,0
erasure_propagation,50,sequential,0,6,true,0.000002,50,20.833,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,50,0
erasure_propagation,50,sequential,0,7,true,0.000003,50,20.000,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,50,0
erasure_propagation,50,sequential,0,8,true,0.000002,50,21.739,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,50,0
erasure_propagation,50,sequential,0,9,true,0.000003,50,20.000,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,50,0
erasure_propagation,50,local,1,0,true,0.000003,50,15.152,1,0.7879,0.7879,0.2424,0,0,0,0,0,0,0,50,0
erasure_propagation,50,local,1,1,true,0.000003,50,16.129,1,0.8387,0.8387,0.1935,0,0,0,0,0,0,0,50,0
erasure_propagation,50,local,1,2,true,0.000003,50,16.129,1,0.8387,0.8387,0.2581,0,0,0,0,0,0,0,50,0
erasure_propagation,50,local,1,3,true,0.000003,50,16.129,1,0.8387,0.8387,0.2258,0,0,0,0,0,0,0,50,0
erasure_propagation,50,local,1,4,true,0.000003,50,16.129,1,0.8387,0.8387,0.1935,0,0,0,0,0,0,0,50,0
erasure_propagation,50,local,1,5,true,0.000003,50,14.706,1,0.7647,0.7647,0.2353,0,0,0,0,0,0,0,50,0
