benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era,peak_memory_during_construction,peak_memory_during_reduction,agent_count_at_construction_complete,live_agent_count_watermark,representation,chunk_size,recycle_policy
ep_annihilation,100,sequential,0,0,true,0.000010,100,10.526,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0,,,200,0,dense,10000,disable-under-delta
ep_annihilation,100,sequential,0,1,true,0.000008,100,12.500,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0,,,200,0,dense,10000,disable-under-delta
ep_annihilation,100,sequential,0,2,true,0.000008,100,12.658,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0,,,200,0,dense,10000,disable-under-delta
ep_annihilation,100,sequential,0,3,true,0.000008,100,12.658,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0,,,200,0,dense,10000,disable-under-delta
ep_annihilation,100,sequential,0,4,true,0.000008,100,12.821,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0,,,200,0,dense,10000,disable-under-delta
ep_annihilation,100,local,1,0,true,0.000012,100,8.547,1,0.6752,0.6752,0.2991,0,0,0,0,0,100,0,0,0,,,200,200,dense,10000,disable-under-delta
ep_annihilation,100,local,1,1,true,0.000012,100,8.403,1,0.6639,0.6639,0.3193,0,0,0,0,0,100,0,0,0,,,200,200,dense,10000,disable-under-delta
ep_annihilation,100,local,1,2,true,0.000011,100,9.009,1,0.7117,0.7117,0.2703,0,0,0,0,0,100,0,0,0,,,200,200,dense,10000,disable-under-delta
ep_annihilation,100,local,1,3,true,0.000011,100,8.929,1,0.7054,0.7054,0.2768,0,0,0,0,0,100,0,0,0,,,200,200,dense,10000,disable-under-delta
ep_annihilation,100,local,1,4,true,0.000011,100,9.009,1,0.7117,0.7117,0.2703,0,0,0,0,0,100,0,0,0,,,200,200,dense,10000,disable-under-delta
ep_annihilation,100,local,2,0,true,0.000096,100,1.042,1,0.0823,0.0411,0.8896,0,0,0,0,0,100,0,0,0,,,200,200,dense,10000,disable-under-delta
