benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation,100,sequential,0,5,true,0.000008,0.000001,0.000008,0.000008,0.000010,12.233,1.0000,1.0000,0.0000,0.0875
ep_annihilation,100,local,1,5,true,0.000011,0.000000,0.000011,0.000011,0.000012,8.779,0.6936,0.6936,0.2872,0.0328
ep_annihilation,100,local,2,5,true,0.000090,0.000004,0.000088,0.000086,0.000096,1.115,0.0881,0.0440,0.8879,0.0429
ep_annihilation,100,local,4,5,true,0.000108,0.000012,0.000103,0.000101,0.000129,0.933,0.0737,0.0184,0.8888,0.1099
ep_annihilation,100,local,8,5,true,0.000128,0.000071,0.000085,0.000073,0.000239,0.959,0.0757,0.0095,0.8700,0.5557
ep_annihilation,500,sequential,0,5,true,0.000017,0.000001,0.000017,0.000015,0.000019,29.999,1.0000,1.0000,0.0000,0.0851
ep_annihilation,500,local,1,5,true,0.000046,0.000000,0.000046,0.000046,0.000046,10.898,0.3640,0.3640,0.1848,0.0066
ep_annihilation,500,local,2,5,true,0.000922,0.000211,0.001042,0.000597,0.001088,0.571,0.0191,0.0095,0.8711,0.2286
ep_annihilation,500,local,4,5,true,0.000274,0.000005,0.000275,0.000270,0.000282,1.824,0.0609,0.0152,0.9198,0.0178
ep_annihilation,500,local,8,5,true,0.000371,0.000034,0.000355,0.000341,0.000428,1.356,0.0453,0.0057,0.9048,0.0923
ep_annihilation,1000,sequential,0,5,true,0.000033,0.000002,0.000033,0.000030,0.000035,30.480,1.0000,1.0000,0.0000,0.0704
ep_annihilation,1000,local,1,5,true,0.000036,0.000000,0.000036,0.000036,0.000037,27.672,0.9160,0.9160,0.1876,0.0099
ep_annihilation,1000,local,2,5,true,0.001107,0.000296,0.001236,0.000582,0.001272,0.990,0.0328,0.0164,0.9329,0.2677
ep_annihilation,1000,local,4,5,true,0.000506,0.000010,0.000502,0.000494,0.000521,1.979,0.0655,0.0164,0.9169,0.0204
ep_annihilation,1000,local,8,5,true,0.000762,0.000111,0.000738,0.000664,0.000951,1.332,0.0441,0.0055,0.9310,0.1453
ep_annihilation,5000,sequential,0,5,true,0.000217,0.000087,0.000178,0.000158,0.000371,25.231,1.0000,1.0000,0.0000,0.4021
ep_annihilation,5000,local,1,5,true,0.000358,0.000131,0.000304,0.000288,0.000592,15.058,0.5361,0.5361,0.1838,0.3660
ep_annihilation,5000,local,2,5,true,0.004200,0.000783,0.003953,0.003470,0.005411,1.221,0.0435,0.0217,0.9367,0.1863
ep_annihilation,5000,local,4,5,true,0.003842,0.001326,0.003432,0.002952,0.006161,1.397,0.0497,0.0124,0.9319,0.3451
ep_annihilation,5000,local,8,5,true,0.003301,0.000207,0.003303,0.002991,0.003573,1.520,0.0541,0.0068,0.9287,0.0627
ep_annihilation,10000,sequential,0,5,true,0.000346,0.000008,0.000347,0.000334,0.000355,28.873,1.0000,1.0000,0.0000,0.0231
ep_annihilation,10000,local,1,5,true,0.001126,0.000374,0.000975,0.000925,0.001791,9.466,0.3288,0.3288,0.2329,0.3318
ep_annihilation,10000,local,2,5,true,0.006746,0.000510,0.007077,0.006042,0.007153,1.490,0.0517,0.0259,0.9302,0.0756
ep_annihilation,10000,local,4,5,true,0.007511,0.000675,0.007274,0.006889,0.008445,1.340,0.0465,0.0116,0.9340,0.0899
ep_annihilation,10000,local,8,5,true,0.008628,0.000664,0.008369,0.008150,0.009782,1.164,0.0404,0.0051,0.9351,0.0769
ep_annihilation,50000,sequential,0,5,true,0.002805,0.001093,0.002375,0.002005,0.004670,19.562,1.0000,1.0000,0.0000,0.3896
ep_annihilation,50000,local,1,5,true,0.004041,0.002076,0.003191,0.002828,0.007705,14.241,0.6765,0.6765,0.2383,0.5138
ep_annihilation,50000,local,2,5,true,0.043822,0.002811,0.043491,0.041276,0.048277,1.145,0.0544,0.0272,0.9419,0.0642
ep_annihilation,50000,local,4,5,true,0.048981,0.001951,0.048797,0.046243,0.051464,1.022,0.0486,0.0121,0.9358,0.0398
ep_annihilation,50000,local,8,5,true,0.055750,0.006516,0.054360,0.049683,0.066158,0.906,0.0430,0.0054,0.9352,0.1169
ep_annihilation,100000,sequential,0,5,true,0.004418,0.000331,0.004624,0.004003,0.004678,22.738,1.0000,1.0000,0.0000,0.0749
ep_annihilation,100000,local,1,5,true,0.006898,0.000868,0.006739,0.005905,0.008293,14.670,0.6783,0.6783,0.2825,0.1258
ep_annihilation,100000,local,2,5,true,0.100519,0.008846,0.100315,0.089887,0.114027,1.001,0.0463,0.0231,0.9136,0.0880
ep_annihilation,100000,local,4,5,true,0.135887,0.020954,0.135876,0.107897,0.158747,0.751,0.0347,0.0087,0.9341,0.1542
ep_annihilation,100000,local,8,5,true,0.242527,0.026439,0.238292,0.205582,0.274071,0.416,0.0193,0.0024,0.9381,0.1090
ep_annihilation_con,100,sequential,0,5,true,0.000053,0.000017,0.000046,0.000040,0.000080,2.003,1.0000,1.0000,0.0000,0.3122
ep_annihilation_con,100,local,1,5,true,0.000068,0.000003,0.000068,0.000065,0.000073,1.477,0.6735,0.6735,0.0895,0.0508
ep_annihilation_con,100,local,2,5,true,0.000200,0.000017,0.000207,0.000170,0.000209,0.503,0.2294,0.1147,0.7125,0.0848
ep_annihilation_con,100,local,4,5,true,0.000301,0.000037,0.000290,0.000269,0.000361,0.336,0.1533,0.0383,0.7197,0.1221
ep_annihilation_con,100,local,8,5,true,0.000610,0.000250,0.000559,0.000351,0.000999,0.186,0.0847,0.0106,0.6900,0.4091
ep_annihilation_con,500,sequential,0,5,true,0.000191,0.000017,0.000191,0.000165,0.000209,2.635,1.0000,1.0000,0.0000,0.0901
ep_annihilation_con,500,local,1,5,true,0.000242,0.000082,0.000194,0.000175,0.000360,2.246,0.8593,0.8593,0.0508,0.3380
ep_annihilation_con,500,local,2,5,true,0.001628,0.000268,0.001492,0.001456,0.002092,0.313,0.1197,0.0598,0.7039,0.1647
ep_annihilation_con,500,local,4,5,true,0.000732,0.000140,0.000696,0.000600,0.000971,0.700,0.2680,0.0670,0.7260,0.1915
ep_annihilation_con,500,local,8,5,true,0.000902,0.000277,0.000797,0.000740,0.001396,0.586,0.2242,0.0280,0.7519,0.3074
ep_annihilation_con,1000,sequential,0,5,true,0.000212,0.000025,0.000220,0.000184,0.000242,4.780,1.0000,1.0000,0.0000,0.1192
ep_annihilation_con,1000,local,1,5,true,0.000225,0.000014,0.000233,0.000208,0.000237,4.461,0.9824,0.9824,0.0411,0.0628
ep_annihilation_con,1000,local,2,5,true,0.001100,0.000236,0.001034,0.000857,0.001403,0.942,0.2075,0.1037,0.6926,0.2146
ep_annihilation_con,1000,local,4,5,true,0.001805,0.000542,0.001932,0.000896,0.002284,0.620,0.1366,0.0341,0.6966,0.3003
ep_annihilation_con,1000,local,8,5,true,0.001249,0.000113,0.001223,0.001139,0.001412,0.806,0.1774,0.0222,0.7228,0.0907
ep_annihilation_con,5000,sequential,0,5,true,0.001985,0.001075,0.001600,0.001197,0.003775,3.024,1.0000,1.0000,0.0000,0.5414
ep_annihilation_con,5000,local,1,5,true,0.001676,0.000706,0.001417,0.001042,0.002877,3.338,1.0678,1.0678,0.0753,0.4214
ep_annihilation_con,5000,local,2,5,true,0.007027,0.002203,0.007278,0.004920,0.010320,0.767,0.2454,0.1227,0.7140,0.3135
ep_annihilation_con,5000,local,4,5,true,0.004745,0.000309,0.004920,0.004351,0.005007,1.057,0.3383,0.0846,0.7127,0.0652
ep_annihilation_con,5000,local,8,5,true,0.006843,0.001912,0.005895,0.005114,0.009891,0.771,0.2468,0.0308,0.7584,0.2793
ep_annihilation_con,10000,sequential,0,5,true,0.002736,0.001046,0.002372,0.001935,0.004462,4.020,1.0000,1.0000,0.0000,0.3823
ep_annihilation_con,10000,local,1,5,true,0.003304,0.001150,0.002775,0.002328,0.005240,3.272,0.7760,0.7760,0.0455,0.3481
ep_annihilation_con,10000,local,2,5,true,0.009964,0.002519,0.009277,0.008072,0.014355,1.045,0.2479,0.1240,0.7203,0.2528
ep_annihilation_con,10000,local,4,5,true,0.012959,0.002429,0.012495,0.010538,0.016867,0.792,0.1877,0.0469,0.7406,0.1874
ep_annihilation_con,10000,local,8,5,true,0.015148,0.004785,0.015122,0.010006,0.022185,0.714,0.1693,0.0212,0.7369,0.3159
ep_annihilation_con,50000,sequential,0,5,true,0.021705,0.005379,0.019417,0.017299,0.030045,2.406,1.0000,1.0000,0.0000,0.2478
ep_annihilation_con,50000,local,1,5,true,0.016771,0.003081,0.018503,0.013173,0.019696,3.070,1.1920,1.1920,0.0428,0.1837
ep_annihilation_con,50000,local,2,5,true,0.093779,0.016953,0.092197,0.070140,0.116400,0.548,0.2129,0.1064,0.7198,0.1808
ep_annihilation_con,50000,local,4,5,true,0.106438,0.016888,0.106979,0.085467,0.130580,0.479,0.1861,0.0465,0.7549,0.1587
ep_annihilation_con,50000,local,8,5,true,0.120607,0.037748,0.118161,0.081578,0.166569,0.450,0.1746,0.0218,0.7852,0.3130
ep_annihilation_con,100000,sequential,0,5,true,0.030961,0.003811,0.033422,0.026430,0.034313,3.271,1.0000,1.0000,0.0000,0.1231
ep_annihilation_con,100000,local,1,5,true,0.042738,0.014029,0.038074,0.029812,0.065640,2.518,0.8415,0.8415,0.0493,0.3282
ep_annihilation_con,100000,local,2,5,true,0.250746,0.093018,0.194736,0.177087,0.375403,0.441,0.1474,0.0737,0.7713,0.3710
ep_annihilation_con,100000,local,4,5,true,0.184825,0.028804,0.187054,0.143654,0.224595,0.552,0.1846,0.0461,0.7503,0.1558
ep_annihilation_con,100000,local,8,5,true,0.220598,0.017701,0.221264,0.194888,0.241122,0.456,0.1523,0.0190,0.8360,0.0802
ep_annihilation_dup,100,sequential,0,5,true,0.000029,0.000010,0.000023,0.000022,0.000042,3.686,1.0000,1.0000,0.0000,0.3299
ep_annihilation_dup,100,local,1,5,true,0.000033,0.000014,0.000025,0.000024,0.000056,3.364,0.7873,0.7873,0.1085,0.4201
ep_annihilation_dup,100,local,2,5,true,0.000170,0.000053,0.000162,0.000098,0.000242,0.642,0.1502,0.0751,0.6620,0.3118
ep_annihilation_dup,100,local,4,5,true,0.000235,0.000032,0.000243,0.000182,0.000263,0.433,0.1014,0.0254,0.6675,0.1345
ep_annihilation_dup,100,local,8,5,true,0.000406,0.000102,0.000422,0.000293,0.000532,0.260,0.0608,0.0076,0.7251,0.2522
ep_annihilation_dup,500,sequential,0,5,true,0.000382,0.000205,0.000305,0.000233,0.000724,1.564,1.0000,1.0000,0.0000,0.5360
ep_annihilation_dup,500,local,1,5,true,0.000375,0.000049,0.000381,0.000294,0.000417,1.355,0.8273,0.8273,0.0536,0.1303
ep_annihilation_dup,500,local,2,5,true,0.000414,0.000032,0.000420,0.000375,0.000455,1.213,0.7404,0.3702,0.6914,0.0765
ep_annihilation_dup,500,local,4,5,true,0.000637,0.000350,0.000409,0.000403,0.001198,0.952,0.5813,0.1453,0.6517,0.5500
ep_annihilation_dup,500,local,8,5,true,0.002093,0.000291,0.002082,0.001682,0.002413,0.243,0.1483,0.0185,0.7143,0.1389
ep_annihilation_dup,1000,sequential,0,5,true,0.000222,0.000025,0.000223,0.000193,0.000255,4.556,1.0000,1.0000,0.0000,0.1120
ep_annihilation_dup,1000,local,1,5,true,0.000231,0.000026,0.000218,0.000212,0.000275,4.366,0.9736,0.9736,0.0431,0.1129
ep_annihilation_dup,1000,local,2,5,true,0.001495,0.000367,0.001601,0.000854,0.001752,0.719,0.1603,0.0801,0.6634,0.2458
ep_annihilation_dup,1000,local,4,5,true,0.001992,0.000811,0.001685,0.001295,0.003333,0.559,0.1247,0.0312,0.6751,0.4071
ep_annihilation_dup,1000,local,8,5,true,0.001866,0.000980,0.001674,0.000872,0.003463,0.656,0.1462,0.0183,0.7324,0.5251
ep_annihilation_dup,5000,sequential,0,5,true,0.001045,0.000047,0.001054,0.000990,0.001100,4.794,1.0000,1.0000,0.0000,0.0451
ep_annihilation_dup,5000,local,1,5,true,0.001166,0.000193,0.001051,0.000995,0.001422,4.377,0.9229,0.9229,0.0386,0.1659
ep_annihilation_dup,5000,local,2,5,true,0.005934,0.002642,0.004492,0.003765,0.010104,0.962,0.2028,0.1014,0.7229,0.4452
ep_annihilation_dup,5000,local,4,5,true,0.005145,0.000698,0.004786,0.004512,0.006025,0.986,0.2078,0.0520,0.7209,0.1357
ep_annihilation_dup,5000,local,8,5,true,0.006097,0.001238,0.005526,0.005187,0.008165,0.844,0.1779,0.0222,0.6976,0.2031
ep_annihilation_dup,10000,sequential,0,5,true,0.002193,0.000225,0.002225,0.001972,0.002517,4.597,1.0000,1.0000,0.0000,0.1026
ep_annihilation_dup,10000,local,1,5,true,0.002802,0.000708,0.002482,0.002031,0.003817,3.748,0.8338,0.8338,0.0357,0.2528
ep_annihilation_dup,10000,local,2,5,true,0.009549,0.000838,0.009858,0.008418,0.010330,1.054,0.2345,0.1172,0.7198,0.0878
ep_annihilation_dup,10000,local,4,5,true,0.010156,0.000606,0.010166,0.009492,0.011101,0.987,0.2196,0.0549,0.6897,0.0597
ep_annihilation_dup,10000,local,8,5,true,0.010406,0.001008,0.010471,0.009197,0.011530,0.968,0.2154,0.0269,0.6885,0.0969
ep_annihilation_dup,50000,sequential,0,5,true,0.015660,0.003248,0.015871,0.010743,0.019567,3.323,1.0000,1.0000,0.0000,0.2074
ep_annihilation_dup,50000,local,1,5,true,0.012844,0.001660,0.012183,0.011188,0.014844,3.944,1.2519,1.2519,0.0422,0.1292
ep_annihilation_dup,50000,local,2,5,true,0.072329,0.016994,0.062269,0.060863,0.100704,0.717,0.2277,0.1138,0.7619,0.2349
ep_annihilation_dup,50000,local,4,5,true,0.117723,0.055416,0.115680,0.056555,0.195888,0.515,0.1634,0.0409,0.7853,0.4707
ep_annihilation_dup,50000,local,8,5,true,0.106546,0.028778,0.089825,0.081142,0.140489,0.496,0.1574,0.0197,0.7894,0.2701
ep_annihilation_dup,100000,sequential,0,5,true,0.038679,0.012237,0.031728,0.027841,0.054328,2.786,1.0000,1.0000,0.0000,0.3164
ep_annihilation_dup,100000,local,1,5,true,0.036221,0.008054,0.039321,0.027387,0.044948,2.881,0.9141,0.9141,0.0418,0.2223
ep_annihilation_dup,100000,local,2,5,true,0.220513,0.057732,0.207618,0.153665,0.290476,0.480,0.1522,0.0761,0.8065,0.2618
ep_annihilation_dup,100000,local,4,5,true,0.175781,0.015374,0.180800,0.157258,0.191474,0.572,0.1816,0.0454,0.8125,0.0875
ep_annihilation_dup,100000,local,8,5,true,0.216124,0.051995,0.201387,0.162446,0.284789,0.484,0.1536,0.0192,0.8217,0.2406
condup_expansion,100,sequential,0,5,true,0.000013,0.000002,0.000013,0.000012,0.000015,7.678,1.0000,1.0000,0.0000,0.1232
condup_expansion,100,local,1,5,true,0.000022,0.000008,0.000017,0.000015,0.000033,5.026,0.6282,0.6282,0.2190,0.3726
condup_expansion,100,local,2,5,true,0.004168,0.000611,0.004003,0.003550,0.004953,0.024,0.0030,0.0015,0.3335,0.1466
condup_expansion,100,local,4,5,true,0.016217,0.001664,0.015783,0.014858,0.018921,0.006,0.0008,0.0002,0.2969,0.1026
condup_expansion,100,local,8,5,true,0.091802,0.017473,0.085785,0.075576,0.112515,0.001,0.0001,0.0000,0.3036,0.1903
condup_expansion,500,sequential,0,5,true,0.000107,0.000052,0.000077,0.000064,0.000179,5.536,1.0000,1.0000,0.0000,0.4846
condup_expansion,500,local,1,5,true,0.000076,0.000008,0.000074,0.000068,0.000088,6.629,1.0183,1.0183,0.1294,0.1051
condup_expansion,500,local,2,5,true,0.003528,0.000854,0.003191,0.002862,0.004922,0.148,0.0227,0.0113,0.4030,0.2421
condup_expansion,500,local,4,5,true,0.022382,0.004739,0.023443,0.015812,0.028309,0.023,0.0036,0.0009,0.2883,0.2117
condup_expansion,500,local,8,5,true,0.092462,0.010920,0.094645,0.078829,0.105028,0.005,0.0008,0.0001,0.3339,0.1181
condup_expansion,1000,sequential,0,5,true,0.000137,0.000043,0.000107,0.000105,0.000186,7.856,1.0000,1.0000,0.0000,0.3109
condup_expansion,1000,local,1,5,true,0.000184,0.000016,0.000180,0.000168,0.000203,5.476,0.5832,0.5832,0.1126,0.0870
condup_expansion,1000,local,2,5,true,0.004843,0.003012,0.003451,0.003228,0.010204,0.250,0.0266,0.0133,0.4418,0.6220
condup_expansion,1000,local,4,5,true,0.019539,0.003082,0.019469,0.015998,0.022651,0.052,0.0056,0.0014,0.3209,0.1577
condup_expansion,1000,local,8,5,true,0.090412,0.031107,0.080011,0.068880,0.145418,0.012,0.0013,0.0002,0.2161,0.3441
condup_expansion,5000,sequential,0,5,true,0.000811,0.000265,0.000748,0.000523,0.001186,6.704,1.0000,1.0000,0.0000,0.3270
condup_expansion,5000,local,1,5,true,0.000832,0.000293,0.000777,0.000596,0.001318,6.525,0.9757,0.9757,0.1072,0.3523
condup_expansion,5000,local,2,5,true,0.008963,0.002166,0.010218,0.005930,0.010642,0.590,0.0882,0.0441,0.5662,0.2416
condup_expansion,5000,local,4,5,true,0.031447,0.012596,0.030933,0.020246,0.051168,0.179,0.0267,0.0067,0.3793,0.4005
condup_expansion,5000,local,8,5,true,0.118113,0.013786,0.114550,0.105499,0.141591,0.043,0.0064,0.0008,0.2909,0.1167
condup_expansion,10000,sequential,0,5,true,0.002249,0.000327,0.002239,0.001839,0.002640,4.524,1.0000,1.0000,0.0000,0.1452
condup_expansion,10000,local,1,5,true,0.001940,0.000754,0.002270,0.001001,0.002791,5.984,1.3396,1.3396,0.0855,0.3884
condup_expansion,10000,local,2,5,true,0.011011,0.000227,0.011079,0.010740,0.011240,0.908,0.2034,0.1017,0.5967,0.0207
condup_expansion,10000,local,4,5,true,0.033805,0.005275,0.031652,0.031047,0.043225,0.301,0.0673,0.0168,0.3655,0.1560
condup_expansion,10000,local,8,5,true,0.150144,0.036093,0.131314,0.119870,0.205944,0.069,0.0155,0.0019,0.2686,0.2404
dual_tree,4,sequential,0,5,true,0.000003,0.000001,0.000003,0.000003,0.000004,4.559,1.0000,1.0000,0.0000,0.1922
dual_tree,4,local,1,5,true,0.000004,0.000000,0.000004,0.000003,0.000004,3.937,0.8399,0.8399,0.1915,0.1002
dual_tree,4,local,2,5,true,0.000016,0.000001,0.000016,0.000015,0.000016,0.968,0.2065,0.1032,0.9448,0.0431
dual_tree,4,local,4,5,true,0.000041,0.000019,0.000034,0.000028,0.000074,0.411,0.0878,0.0219,0.8797,0.4571
dual_tree,4,local,8,5,true,0.000090,0.000015,0.000083,0.000081,0.000117,0.170,0.0364,0.0045,0.8707,0.1710
dual_tree,6,sequential,0,5,true,0.000027,0.000003,0.000025,0.000025,0.000031,2.370,1.0000,1.0000,0.0000,0.1047
dual_tree,6,local,1,5,true,0.000020,0.000001,0.000020,0.000020,0.000021,3.116,1.2514,1.2514,0.0701,0.0372
dual_tree,6,local,2,5,true,0.000109,0.000010,0.000110,0.000093,0.000119,0.584,0.2345,0.1172,0.9724,0.0890
dual_tree,6,local,4,5,true,0.000177,0.000023,0.000160,0.000159,0.000203,0.361,0.1452,0.0363,0.8784,0.1303
dual_tree,6,local,8,5,true,0.000217,0.000015,0.000219,0.000199,0.000232,0.291,0.1170,0.0146,0.8858,0.0712
dual_tree,8,sequential,0,5,true,0.000035,0.000004,0.000033,0.000032,0.000041,7.394,1.0000,1.0000,0.0000,0.1045
dual_tree,8,local,1,5,true,0.000073,0.000002,0.000074,0.000071,0.000075,3.485,0.4524,0.4524,0.0287,0.0238
dual_tree,8,local,2,5,true,0.000150,0.000010,0.000144,0.000143,0.000164,1.707,0.2216,0.1108,0.9785,0.0637
dual_tree,8,local,4,5,true,0.000306,0.000087,0.000253,0.000248,0.000447,0.880,0.1142,0.0286,0.9107,0.2839
dual_tree,8,local,8,5,true,0.000400,0.000109,0.000345,0.000316,0.000583,0.670,0.0870,0.0109,0.9067,0.2718
dual_tree,10,sequential,0,5,true,0.000328,0.000026,0.000331,0.000300,0.000364,3.131,1.0000,1.0000,0.0000,0.0786
dual_tree,10,local,1,5,true,0.000361,0.000077,0.000367,0.000244,0.000460,2.956,0.9572,0.9572,0.0187,0.2127
dual_tree,10,local,2,5,true,0.001354,0.000329,0.001392,0.000823,0.001711,0.804,0.2604,0.1302,0.9803,0.2432
dual_tree,10,local,4,5,true,0.001876,0.000526,0.002058,0.000946,0.002231,0.605,0.1959,0.0490,0.9058,0.2805
dual_tree,10,local,8,5,true,0.002866,0.000172,0.002790,0.002755,0.003170,0.358,0.1159,0.0145,0.8970,0.0599
dual_tree,12,sequential,0,5,true,0.001244,0.000297,0.001120,0.001034,0.001764,3.413,1.0000,1.0000,0.0000,0.2383
dual_tree,12,local,1,5,true,0.000970,0.000088,0.000943,0.000901,0.001124,4.247,1.1614,1.1614,0.0211,0.0905
dual_tree,12,local,2,5,true,0.004980,0.001085,0.005401,0.003073,0.005739,0.868,0.2373,0.1186,0.9816,0.2179
dual_tree,12,local,4,5,true,0.006827,0.001546,0.006659,0.005045,0.008932,0.625,0.1709,0.0427,0.8920,0.2265
dual_tree,12,local,8,5,true,0.007255,0.002683,0.006026,0.004696,0.010212,0.628,0.1716,0.0215,0.9201,0.3698
dual_tree,14,sequential,0,5,true,0.002326,0.000231,0.002303,0.002017,0.002618,7.100,1.0000,1.0000,0.0000,0.0993
dual_tree,14,local,1,5,true,0.003564,0.001422,0.003671,0.002064,0.005416,5.277,0.7419,0.7419,0.0153,0.3991
dual_tree,14,local,2,5,true,0.015928,0.003602,0.015430,0.011175,0.020718,1.074,0.1510,0.0755,0.9841,0.2261
dual_tree,14,local,4,5,true,0.019606,0.003587,0.018132,0.016244,0.024184,0.857,0.1205,0.0301,0.9125,0.1830
dual_tree,14,local,8,5,true,0.022177,0.000606,0.022150,0.021408,0.023034,0.739,0.1039,0.0130,0.9113,0.0273
tree_sum,10,sequential,0,5,true,0.000001,0.000000,0.000001,0.000001,0.000001,8.629,1.0000,1.0000,0.0000,0.2282
tree_sum,10,local,1,5,true,0.000001,0.000001,0.000001,0.000001,0.000003,4.462,0.5205,0.5205,0.4933,0.4269
tree_sum,10,local,2,5,true,0.000020,0.000005,0.000017,0.000017,0.000029,0.317,0.0370,0.0185,0.9074,0.2655
tree_sum,10,local,4,5,true,0.000025,0.000002,0.000025,0.000022,0.000028,0.246,0.0287,0.0072,0.8867,0.0904
tree_sum,10,local,8,5,true,0.000028,0.000001,0.000028,0.000028,0.000029,0.213,0.0248,0.0031,0.8732,0.0183
tree_sum,50,sequential,0,5,true,0.000001,0.000000,0.000001,0.000001,0.000001,9.000,1.0000,1.0000,0.0000,0.1611
tree_sum,50,local,1,5,true,0.000001,0.000000,0.000001,0.000001,0.000001,5.273,0.5273,0.5273,0.4909,0.0480
tree_sum,50,local,2,5,true,0.000050,0.000005,0.000047,0.000046,0.000059,0.122,0.0122,0.0061,0.9094,0.1044
tree_sum,50,local,4,5,true,0.000057,0.000001,0.000058,0.000056,0.000058,0.105,0.0105,0.0026,0.8892,0.0132
tree_sum,50,local,8,5,true,0.000072,0.000002,0.000072,0.000070,0.000076,0.083,0.0083,0.0010,0.8889,0.0332
tree_sum,100,sequential,0,5,true,0.000001,0.000000,0.000001,0.000001,0.000001,8.357,1.0000,1.0000,0.0000,0.0621
tree_sum,100,local,1,5,true,0.000002,0.000000,0.000002,0.000002,0.000002,3.532,0.4120,0.4120,0.5469,0.2258
tree_sum,100,local,2,5,true,0.000091,0.000007,0.000088,0.000085,0.000102,0.066,0.0078,0.0039,0.9058,0.0738
tree_sum,100,local,4,5,true,0.000102,0.000005,0.000100,0.000097,0.000111,0.059,0.0069,0.0017,0.9033,0.0537
tree_sum,100,local,8,5,true,0.000165,0.000105,0.000118,0.000117,0.000353,0.044,0.0051,0.0006,0.8903,0.6377
tree_sum,500,sequential,0,5,true,0.000003,0.000001,0.000003,0.000001,0.000005,2.873,1.0000,1.0000,0.0000,0.5095
tree_sum,500,local,1,5,true,0.000008,0.000006,0.000008,0.000003,0.000018,1.077,0.4666,0.4666,0.6653,0.7028
tree_sum,500,local,2,5,true,0.000841,0.000226,0.000867,0.000533,0.001152,0.008,0.0033,0.0016,0.8976,0.2686
tree_sum,500,local,4,5,true,0.000547,0.000178,0.000441,0.000410,0.000829,0.012,0.0051,0.0013,0.8987,0.3262
tree_sum,500,local,8,5,true,0.000574,0.000242,0.000470,0.000457,0.001008,0.011,0.0050,0.0006,0.8903,0.4221
tree_sum,1000,sequential,0,5,true,0.000002,0.000001,0.000003,0.000001,0.000004,3.056,1.0000,1.0000,0.0000,0.4868
tree_sum,1000,local,1,5,true,0.000006,0.000002,0.000006,0.000003,0.000007,1.160,0.5025,0.5025,0.6753,0.2723
tree_sum,1000,local,2,5,true,0.000791,0.000041,0.000786,0.000740,0.000853,0.008,0.0033,0.0016,0.8966,0.0518
tree_sum,1000,local,4,5,true,0.000823,0.000042,0.000815,0.000770,0.000868,0.007,0.0032,0.0008,0.8953,0.0506
tree_sum,1000,local,8,5,true,0.000896,0.000030,0.000876,0.000876,0.000944,0.007,0.0029,0.0004,0.8947,0.0339
tree_sum_balanced,10,sequential,0,5,true,0.000001,0.000000,0.000001,0.000001,0.000001,8.629,1.0000,1.0000,0.0000,0.2282
tree_sum_balanced,10,local,1,5,true,0.000002,0.000002,0.000001,0.000001,0.000005,4.790,0.5588,0.5588,0.4256,0.8734
tree_sum_balanced,10,local,2,5,true,0.000029,0.000001,0.000029,0.000028,0.000030,0.205,0.0239,0.0119,0.9061,0.0325
tree_sum_balanced,10,local,4,5,true,0.000041,0.000001,0.000040,0.000040,0.000042,0.148,0.0172,0.0043,0.8863,0.0240
